area_threshold_um2,file,condition,objects_n,zero_tmrm_objects_n,image_mean_object_ratio,image_median_object_ratio,image_ratio_of_integrated_sums,WT_reference_image_mean_ratio,image_mean_percent_of_WT,image_median_percent_of_WT,integrated_ratio_percent_of_WT
0.025,TMRM MTG CS WR ZZ.lif - 7.16.26 CS_Series056.tif,CS,2658,447,0.9405520687781042,0.679622641509434,2.0762733658897017,0.6166581899211537,152.52405370605126,110.21059196446103,336.6976065225332
0.05,TMRM MTG CS WR ZZ.lif - 7.16.26 CS_Series056.tif,CS,1907,123,0.9729679458197289,0.8148148148148148,2.078765849246574,0.6901124288698677,140.98687476373482,118.06986524632812,301.22133181266906
0.1,TMRM MTG CS WR ZZ.lif - 7.16.26 CS_Series056.tif,CS,1333,8,1.1194597448182027,0.9725906277630415,2.084238149779704,0.757252642966766,147.83173822046774,128.4367425846972,275.23682738353625
0.025,TMRM MTG CS WR ZZ.lif - 7.16.26 CS_Series059.tif,CS,2306,378,0.9801820297532572,0.6792857142857143,2.1364575975458187,0.6166581899211537,158.95062220426908,110.15595436631891,346.4573458140542
0.05,TMRM MTG CS WR ZZ.lif - 7.16.26 CS_Series059.tif,CS,1708,102,0.9956027503419437,0.8,2.1395569818320443,0.6901124288698677,144.26674679259855,115.92314042366763,310.03020556169315
0.1,TMRM MTG CS WR ZZ.lif - 7.16.26 CS_Series059.tif,CS,1233,12,1.1384309857421002,0.974025974025974,2.1464700478185574,0.757252642966766,150.33701054933962,128.6262891351469,283.45494304372613
0.025,TMRM MTG CS WR ZZ.lif - 7.10.26 WR_Series029.tif,WR,56,0,0.3721083592934442,0.32240758027259997,0.5657355949392889,0.6166581899211537,60.34272557719896,52.28302900085106,91.74216838206985
0.05,TMRM MTG CS WR ZZ.lif - 7.10.26 WR_Series029.tif,WR,45,0,0.4075980434968747,0.3696415939636878,0.5666265232811815,0.6901124288698677,59.06255654087548,53.56251800435113,82.1064075326237
0.1,TMRM MTG CS WR ZZ.lif - 7.10.26 WR_Series029.tif,WR,41,0,0.4273236063950089,0.4041161663926436,0.5673884959526327,0.757252642966766,56.43078441044981,53.366095205610165,74.92723877855572
0.025,TMRM MTG CS WR ZZ.lif - 7.10.26 WR_Series031.tif,WR,201,0,0.45004296133327787,0.39925785567661454,0.7959227248941707,0.6166581899211537,72.98094287709381,64.74540713189326,129.07032419304085
0.05,TMRM MTG CS WR ZZ.lif - 7.10.26 WR_Series031.tif,WR,130,0,0.5403989972420865,0.46268153115435073,0.7994881499224209,0.6901124288698677,78.30593605262945,67.04437013430417,115.84897133814378
0.1,TMRM MTG CS WR ZZ.lif - 7.10.26 WR_Series031.tif,WR,97,0,0.5966530175078353,0.5257651335813325,0.8025085063382696,0.757252642966766,78.7918039044759,69.43061057159058,105.97632293420595
0.025,TMRM MTG CS WR ZZ.lif - 7.10.26 WR_Series033.tif,WR,328,0,0.2677711715223293,0.20216403728772692,0.6297153017311076,0.6166581899211537,43.42294903381835,32.783808046654784,102.11739858861249
0.05,TMRM MTG CS WR ZZ.lif - 7.10.26 WR_Series033.tif,WR,226,0,0.32588396485862303,0.24154508689754023,0.6345823918491434,0.6901124288698677,47.22186577515965,35.00083128383819,91.9534796508939
0.1,TMRM MTG CS WR ZZ.lif - 7.10.26 WR_Series033.tif,WR,160,0,0.3894516502164249,0.30858394209828593,0.6407470951642067,0.757252642966766,51.42955311329524,40.750460888365495,84.61470568843265
0.025,TMRM MTG CS WR ZZ.lif - 7.10.26 WR_Series035.tif,WR,87,0,0.2995643542316926,0.25926608888069336,0.5817209574167883,0.6166581899211537,48.578671154922155,42.04372748440157,94.33442495771726
0.05,TMRM MTG CS WR ZZ.lif - 7.10.26 WR_Series035.tif,WR,64,0,0.3478467255257464,0.2832886691247366,0.5842456272361354,0.6901124288698677,50.404356011292585,41.04964021422594,84.65948486001037
0.1,TMRM MTG CS WR ZZ.lif - 7.10.26 WR_Series035.tif,WR,55,0,0.37671667717455104,0.3001914862277213,0.586597861157188,0.757252642966766,49.747819393359876,39.642184020861315,77.46395692447024
