term,ENTREZID
dme00330,38986
dme00330,39556
dme00330,34495
dme00330,40434
dme00330,40443
dme00330,41167
dme00330,36782
dme00330,35767
dme00330,35766
dme00330,40145
dme00330,40097
dme00330,43629
dme00330,43628
dme00330,43624
dme00330,43625
dme00340,45398
dme00340,31158
dme00340,42892
dme00340,35507
dme00340,43244
dme00340,36076
dme00340,34256
dme00340,40097
dme00350,38746
dme00350,35188
dme00350,35190
dme00350,45398
dme00350,40263
dme00350,42892
dme00350,32381
dme00350,45577
dme00350,31718
dme00350,41595
dme00350,59175
dme00350,246620
dme00350,3771877
dme00350,33373
dme00350,37044
dme00350,44513
dme00350,34552
dme00350,39817
dme00350,42505
dme00350,41311
dme00350,41596
dme00350,35910
dme00350,36782
dme00350,41132
dme00350,41133
dme00360,35190
dme00360,45398
dme00360,40263
dme00360,42892
dme00360,32381
dme00360,33373
dme00360,38871
dme00360,36782
dme00380,35190
dme00380,31695
dme00380,42892
dme00380,43689
dme00380,35724
dme00380,32026
dme00380,43244
dme00380,37867
dme00380,34256
dme00380,34276
dme00380,41360
dme00380,36536
dme00380,40048
dme00380,41433
dme00380,39988
dme00380,38121
dme00380,38147
dme00380,34198
dme00380,33907
dme00380,33911
dme00380,40097
dme00400,32381
dme00400,33373
dme00400,38871
dme00400,36782
dme00410,45398
dme00410,40675
dme00410,38484
dme00410,37166
dme00410,35507
dme00410,35213
dme00410,30995
dme00410,31858
dme00410,40916
dme00410,43244
dme00410,34256
dme00410,34276
dme00410,31641
dme00410,42364
dme00410,41480
dme00410,37028
dme00410,41869
dme00410,40241
dme00410,36536
dme00410,40188
dme00410,34791
dme00410,33898
dme00410,40097
dme00410,37445
dme00410,37446
dme00430,32164
dme00430,38484
dme00430,5740847
dme00430,32672
dme00430,37139
dme00430,40241
dme00430,32839
dme00430,38901
dme00430,34791
dme00440,117353
dme00440,38180
dme00440,326259
dme00440,34716
dme00440,36496
dme00440,34063
dme00450,40475
dme00450,3772080
dme00450,40681
dme00450,37177
dme00450,31760
dme00450,41733
dme00450,34397
dme00450,37143
dme00450,41433
dme00450,40167
dme00450,36587
dme00470,33955
dme00470,36128
dme00470,36396
dme00480,41503
dme00480,41502
dme00480,42801
dme00480,48337
dme00480,35928
dme00480,43463
dme00480,53473
dme00480,38413
dme00480,48338
dme00480,32974
dme00480,36524
dme00480,43444
dme00480,32164
dme00480,37194
dme00480,32299
dme00480,37960
dme00480,33047
dme00480,44110
dme00480,37105
dme00480,37107
dme00480,37108
dme00480,37109
dme00480,37110
dme00480,37111
dme00480,37112
dme00480,37113
dme00480,246581
dme00480,5740847
dme00480,41512
dme00480,36515
dme00480,59240
dme00480,31995
dme00480,53581
dme00480,32216
dme00480,35995
dme00480,246386
dme00480,33493
dme00480,42557
dme00480,326133
dme00480,326140
dme00480,326187
dme00480,326188
dme00480,317908
dme00480,326209
dme00480,32438
dme00480,318913
dme00480,40858
dme00480,37695
dme00480,31185
dme00480,48335
dme00480,39403
dme00480,40017
dme00480,48340
dme00480,48336
dme00480,48341
dme00480,48339
dme00480,36844
dme00480,36467
dme00480,36847
dme00480,37569
dme00480,32672
dme00480,248194
dme00480,37106
dme00480,37128
dme00480,34392
dme00480,38986
dme00480,32839
dme00480,38975
dme00480,38974
dme00480,38972
dme00480,38973
dme00480,32775
dme00480,40445
dme00480,44291
dme00480,41167
dme00480,35767
dme00480,35766
dme00480,36927
dme00480,36280
dme00480,48450
dme00480,31994
dme00500,36649
dme00500,35829
dme00500,34597
dme00500,34598
dme00500,33476
dme00500,36932
dme00500,47764
dme00500,45875
dme00500,43191
dme00500,117364
dme00500,326264
dme00500,33642
dme00500,39065
dme00500,37419
dme00500,44010
dme00500,34016
dme00500,34017
dme00500,41823
dme00500,33386
dme00500,42220
dme00500,35923
dme00500,44008
dme00500,36863
dme00500,35886
dme00500,35830
dme00500,35827
dme00500,35825
dme00500,35826
dme00500,35824
dme00500,45368
dme00500,37435
dme00510,35240
dme00510,40402
dme00510,43031
dme00510,43436
dme00510,38374
dme00510,34159
dme00510,37323
dme00510,49953
dme00510,43443
dme00510,33082
dme00510,32073
dme00510,39609
dme00510,42146
dme00510,41126
dme00510,32122
dme00510,318624
dme00510,318747
dme00510,318981
dme00510,326193
dme00510,2768916
dme00510,3772288
dme00510,3885575
dme00510,37754
dme00510,31957
dme00510,8674033
dme00510,31623
dme00510,34409
dme00510,34711
dme00510,32479
dme00510,37029
dme00510,43005
dme00510,34137
dme00510,34136
dme00510,34134
dme00510,43563
dme00510,36856
dme00510,41191
dme00510,31849
dme00510,39608
dme00510,33554
dme00510,39882
dme00511,37211
dme00511,40524
dme00511,38528
dme00511,31808
dme00511,35989
dme00511,42796
dme00511,41457
dme00511,318721
dme00511,34835
dme00511,37490
dme00511,41913
dme00511,34436
dme00511,32726
dme00511,3772574
dme00511,34437
dme00511,42178
dme00511,250735
dme00511,33839
dme00511,34203
dme00511,34204
dme00511,34205
dme00511,34206
dme00512,43394
dme00512,38346
dme00512,33481
dme00512,33485
dme00512,246627
dme00512,33479
dme00512,326151
dme00512,33568
dme00512,261610
dme00512,33556
dme00512,38106
dme00512,3885645
dme00512,5740612
dme00512,5740876
dme00512,35627
dme00512,32836
dme00512,39715
dme00512,39713
dme00512,32896
dme00512,48775
dme00512,39714
dme00512,36717
dme00512,35792
dme00512,34215
dme00513,40402
dme00513,43031
dme00513,43436
dme00513,38374
dme00513,38528
dme00513,34159
dme00513,37323
dme00513,43443
dme00513,33082
dme00513,39609
dme00513,31808
dme00513,42146
dme00513,41126
dme00513,32122
dme00513,318624
dme00513,318747
dme00513,2768916
dme00513,3772288
dme00513,3355171
dme00513,37754
dme00513,31957
dme00513,32479
dme00513,37029
dme00513,39653
dme00513,43005
dme00513,34137
dme00513,43563
dme00513,42178
dme00513,41191
dme00513,250735
dme00513,31849
dme00513,39608
dme00513,33554
dme00513,39882
dme00514,43394
dme00514,35486
dme00514,40314
dme00514,37833
dme00514,31024
dme00514,36564
dme00514,31098
dme00514,38346
dme00514,33481
dme00514,33485
dme00514,246627
dme00514,42698
dme00514,326122
dme00514,33479
dme00514,326151
dme00514,33568
