"baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene"
56.3913000804696,0.209786326407227,0.323698229013404,0.648092289681758,0.516925260603536,0.981949904176841,"Ack-like"
7.51191661856588,-0.681474268826146,0.980799224049585,-0.694815260979135,0.487171083022177,0.980954182142257,"Acn"
28.6047912728903,-0.41003113688656,0.542967196175799,-0.755167420379116,0.450148534154444,0.972112566711557,"Acox3"
87.8772947361299,0.0245960936443577,0.283507482045219,0.0867564180914091,0.930865130273878,0.99702764477468,"Acox57D-d"
24.949697470602,0.180686563230687,0.536695879586853,0.336664711064632,0.736369668408196,0.994173670463347,"Acox57D-p"
3267.56310946786,0.473118264249737,0.275515307617609,1.71721226069364,0.0859403961586407,0.558272719466725,"Acp1"
2.27277837540706,1.89216257057864,1.98529893682237,0.953086981251904,0.340546001759343,NA,"Acp24A4"
0.343645707143002,1.8997983161881,4.03259147008314,0.471111028796808,0.637561449693915,NA,"Acp26Aa"
0,NA,NA,NA,NA,NA,"Acp26Ab"
0,NA,NA,NA,NA,NA,"Acp29AB"
0,NA,NA,NA,NA,NA,"Acp32CD"
0,NA,NA,NA,NA,NA,"Acp33A"
0,NA,NA,NA,NA,NA,"Acp36DE"
1.43245831630325,-3.98781123901961,3.93745973348633,-1.01278781471848,0.311161522240665,NA,"Acp53C14a"
0,NA,NA,NA,NA,NA,"Acp53C14b"
0,NA,NA,NA,NA,NA,"Acp53C14c"
0.170947141492291,-0.979669831640617,4.0804728567969,-0.240087329587003,0.810262556516135,NA,"Acp53Ea"
0.324942178115119,-0.0178891522117596,4.0804728567969,-0.00438408803086667,0.996502015052319,NA,"Acp54A1"
0.486076688526883,-2.42971254443186,3.99647196494603,-0.607964366006674,0.543211107923135,NA,"Acp62F"
0.493570508431601,0.870762895811239,3.6293934008006,0.239919677932725,0.810392525540201,NA,"Acp63F"
26017.8918062559,0.0553926489971002,0.35892374427426,0.154329853849886,0.877349659321928,0.996870824825408,"Acp65Aa"
0,NA,NA,NA,NA,NA,"Acp76A"
0,NA,NA,NA,NA,NA,"Acp95EF"
0.339575471808773,-0.0178891522117593,4.0804728567969,-0.00438408803086659,0.996502015052319,NA,"Acp98AB"
0.649884356230238,-0.133082746354097,3.99850437264588,-0.0332831313789546,0.973448805516816,NA,"Acph-1"
229.547672708141,-0.105772660167945,0.298672497402317,-0.354142618044497,0.72323200444031,0.99377249529392,"Acsf2"
16.486052674336,0.868922046531024,0.664512145292366,1.3076089770319,0.191005970505933,0.78421834586577,"Acsf3"
30.0075608852607,0.0367463387070972,0.473345470528608,0.0776311193303715,0.938121487426035,0.99702764477468,"Acsl"
25.1065571823348,-0.924893606276731,0.667926668574731,-1.3847232784556,0.166137098270675,0.73646564051669,"Acsx1L"
72.7470379265879,-1.47852965462859,0.339973979786906,-4.34894945652995,1.3679123133725e-05,0.00117231657569027,"Acsx1R"
73.1380217162262,0.871708642666726,0.362464957929466,2.40494597780224,0.0161748566513936,0.229847374730466,"Acsx2"
309.890690689478,-0.0827748054519354,0.291382936082183,-0.284075679121407,0.776352384748639,0.995420125112646,"Acsx3"
113.744451409744,-0.130185378681315,0.274150153393548,-0.474868888708704,0.634880427699452,0.988859091064783,"Acsx4"
5856.86161864316,-0.146644488056728,0.266390890815712,-0.550486120631566,0.581985993992263,0.984047640822168,"Act42A"
210149.431144367,0.449172472280628,0.213814226844991,2.10076045410329,0.0356619995056848,0.360781368133495,"Act57B"
39.2243163443515,-0.242522447626102,0.442876806429176,-0.547607018713647,0.583961769038238,0.985295078060444,"Act5C"
0,NA,NA,NA,NA,NA,"Act79B"
56.5988408165443,-0.116095211083305,0.373635116495154,-0.310718147085114,0.756014900291488,0.995153003289659,"Act87E"
214177.1990415,0.360974903192037,0.138900119218314,2.5988091675046,0.00935477625438283,0.172220275932539,"Act88F"
437.615000187356,0.504619112916967,0.169321181826719,2.98024799657604,0.00288015107008721,0.0825938706868087,"Actbeta"
93.3623743577596,0.250971410642113,0.377685492678573,0.664498413381477,0.506371364083349,0.981949904176841,"Actn"
7.65470571344394,3.88967519970276,1.97737746604547,1.96708785575557,0.0491730830783541,0.432352013481378,"Actn3"
0,NA,NA,NA,NA,NA,"Acyp"
0.166202819000999,0.943883520001872,4.0804728567969,0.231317191199944,0.817068392170902,NA,"Acyp2"
55.4141190088684,0.0525363136856074,0.394890535728783,0.133040194515298,0.894161592399245,0.996870824825408,"Ada"
0,NA,NA,NA,NA,NA,"Ada1-1"
41.438581534164,0.401752643130758,0.431246970372582,0.931606876643465,0.351539727982774,0.9309898857763,"Ada1-2"
0,NA,NA,NA,NA,NA,"Ada2a"
0,NA,NA,NA,NA,NA,"Ada2b"
0,NA,NA,NA,NA,NA,"Ada3"
29.86427243995,-0.228002863426107,0.430813456482668,-0.529238026331891,0.596640340780068,0.986978772225805,"AdamTS-A"
3.17771573650623,-1.92656195798656,1.50263321577313,-1.28212389940769,0.199799186389324,NA,"AdamTS-B"
25.0018446465283,0.964430732887643,0.56982928616724,1.69249063938878,0.0905524633828767,0.572840300583833,"Adar"
10.9836627396332,0.436289839003445,0.777288422814626,0.561297230471545,0.574594929281822,0.982324539946369,"Adat1"
9.79536731671882,-0.719072061904421,0.84828680025839,-0.847675646591919,0.39661863272553,0.94508649384471,"Adck1"
0.343645707143002,1.8997983161881,4.03259147008314,0.471111028796808,0.637561449693915,NA,"Adck5"
0,NA,NA,NA,NA,NA,"Adf1"
0,NA,NA,NA,NA,NA,"Adgf-A"
0,NA,NA,NA,NA,NA,"Adgf-A2"
