"","CSF1","CSF2","CSF3","WRF1","WRF2","WRF3"
"CG5541",11.966602968072,16.6314639552654,17.5259310642931,26.7392219043273,25.6420712238437,15.0977356413545
"CG5543",132.629849562798,92.3970219736967,95.8771522928975,105.046943195572,103.593967744328,71.462615369078
"CG5550",0,0,0,0,0,0
"CG5554",0,0.923970219736966,0,0,1.02568284895375,0
"CG5555",0,0,0,0.954972210868833,2.05136569790749,0
"CG5556",0,0,0,0,0,0
"CG5561",3.98886765602399,0,48.4540447071632,0,0,0
"CG5565",1.99443382801199,0,48.4540447071632,0,0,1.00651570942363
"CG5567",171.521309209031,178.326252409235,157.733379578638,168.075109112915,154.878110192016,133.866589353343
"CG5568",4.98608457002998,13.8595532960545,9.27843409286104,24.8292774825897,19.4879741301212,14.0912199319309
"CG5569",435.783791420621,404.698956244791,379.384860685874,474.62118880181,503.61027883629,594.850784269368
"CG5577",9.97216914005997,1.84794043947393,4.12374848571602,7.63977768695066,5.12841424476873,9.05864138481271
"CG5592",0,0,1.030937121429,0,0,0
"CG5597",1889.72605204136,1657.60257420812,1850.53213296506,1460.15251041845,1937.51490167363,1925.46455212741
"CG5608",187.476779833127,209.741239880291,148.454945485777,199.589192071586,227.701592467732,216.400877526081
"CG5611",0,0,0,0,0,0
"CG5612",418.831103882519,399.15513492637,443.302962214472,283.626746628043,341.552388701598,372.410812486745
"CG5614",1.99443382801199,0,147.424008364348,0,0,0
"CG5618",3.98886765602399,5.5438213184218,1.030937121429,4.77486105434416,5.12841424476873,0
"CG5623",0,0,26.8043651571541,0,1.02568284895375,0
"CG5639",1074.99983329846,1269.53508191859,1119.5977138719,786.897101755918,762.082356772634,1000.47661516709
"CG5641",333.070449278003,269.799304163194,288.662394000121,248.292774825897,277.960052066465,320.071995596716
"CG5644",1022.14733685615,777.058954798789,1296.91889875769,1209.94979117081,1020.55443470898,341.208825494612
"CG5645",77.7829192924678,61.9060047223768,43.2993591000182,99.3171099303586,75.9005308225773,58.3779111465708
"CG5646",910.459042487475,903.642874902753,1024.75149870043,1218.54454106863,1028.75989750061,348.254435460577
"CG5653",1839.86520634106,1570.74937355284,1594.85972685067,1594.80359215095,1341.5931664315,2380.40965278689
"CG5662",0,0,0,0,0,0
"CG5664",0,0,0,0,0,0
"CG5665",0,0,0,0,0,0
"CG5674",3.98886765602399,4.61985109868483,3.09281136428701,2.8649166326065,5.12841424476873,3.0195471282709
"CG5676",1167.74100630102,1018.21518215014,1195.88706085765,1121.13737556001,1247.23034432776,1530.91039403335
"CG5681",0,0,5.15468560714502,0,0,0
"CG5687",0,0,0,0,0,0
"CG5693",0,0.923970219736966,13.4021825785771,0,0,0
"CG5697",0,0,0,0,1.02568284895375,0
"CG5704",1.99443382801199,0,1.030937121429,0,4.10273139581499,0
"CG5707",0,0.923970219736966,2.06187424285801,0,6.15409709372248,1.00651570942363
"CG5708",6.98051839804198,0.923970219736966,5.15468560714502,4.77486105434416,3.07704854686124,2.01303141884727
"CG5715",158.557489326953,157.998907575021,135.0527629072,129.876220678161,123.08194187445,173.120702020865
"CG5721",805.751266516845,827.877316884322,782.481275164615,741.058435634214,863.624958819055,752.873750648878
"CG5726",226.368239479361,251.319899768455,217.52773262152,220.5985807107,220.521812525056,194.257531918761
"CG5727",98.7244744865937,81.309379336853,97.9390265357555,75.4428046586378,93.3371392547909,107.697180908329
"CG5731",365.978607440201,288.278708557934,382.477672050161,201.499136493324,204.110886941796,424.749629376773
"CG5742",15.9554706240959,8.3157319776327,18.5568681857221,9.54972210868833,10.2568284895375,20.1303141884727
"CG5746",55.8441471843358,50.8183620855332,55.6706045571663,64.9381103390806,59.4896052393173,58.3779111465708
"CG5756",0,0,1.030937121429,0,2.05136569790749,0
"CG5757",0,0,0,0,1.02568284895375,0
"CG5758",0,0.923970219736966,0,1.90994442173767,1.02568284895375,1.00651570942363
