"","CSM1","CSM2","CSM3","WRM1","WRM2","WRM3"
"CG14691",0,0,0,0,0.978716910292216,0
"CG14692",48.3397262694739,52.1274171116726,88.2319717573643,118.708928258418,132.126782889449,88.4999724572624
"CG14693",0.966794525389478,2.95060851575505,0,4.27779921651955,1.95743382058443,0
"CG14694",48.3397262694739,34.4237660171423,26.0494392807456,88.7643337427807,44.0422609631497,91.8607309050066
"CG14695",28.0370412362949,35.4073021890606,17.6463943514729,37.4307431445461,55.7868638866563,43.6898598206739
"CG14696",111.18137041979,118.024340630202,85.7110582785824,80.2087353097416,137.02036744091,128.829073830192
"CG14708",230.097097042696,220.312102509711,204.193991781329,216.028860434238,176.169043852599,200.525254048734
"CG14710",80.2439456073267,99.3371533637534,104.197757122983,112.292229433638,99.829124849806,91.8607309050066
"CG14711",0,0,0,1.06944980412989,0,0
"CG14712",1271.33480088716,1448.74878123573,1479.77621204494,1035.22741039773,824.079638466046,1059.75916385532
"CG14715",306.473864548465,336.369370796076,228.56282207622,258.806852599433,348.423220064029,309.189777192461
"CG14717",58.0076715233687,39.341446876734,73.1064908846733,49.1946909899749,26.4253565778898,33.6075844774414
"CG14718",4229.72604857897,4328.54269261266,5019.97904074756,4072.46485412662,3297.29727077448,3882.7962599604
"CG14720",15.4687124062317,11.8024340630202,5.88213145049095,0,14.6807536543832,14.5632866068913
"CG14721",6.76756167772635,26.5554766417955,18.4866988444001,3.20834941238967,7.82973528233773,15.683539422806
"CG14722",439.891509052213,478.982115724237,442.000163279749,478.04406244606,597.017315278252,509.715031241195
"CG14731",90.878685386611,128.843238521304,97.4753211795643,98.3893819799497,97.8716910292216,129.949326646107
"CG14736",6.76756167772635,4.91768085959175,1.68060898585456,9.625048237169,2.93615073087665,4.48101126365886
"CG14739",972.595292541815,1075.98857207868,928.536464684643,922.935180964094,742.846134911792,796.499752115362
"CG14740",1643.55069316211,1652.34076882283,1697.4150757131,1682.24454189631,1349.65061929297,1433.92360437083
"CG14742",0,0,0,0,0,0
"CG14743",80.2439456073267,66.8804596904479,75.6274043634551,38.500192948676,33.2763749499353,31.367078845612
"CG14744",0,0,0,0,0,0
"CG14752",4225.85887047741,4497.71091418262,4430.08528671261,2541.01273461262,4900.43556983313,2781.58774191624
"CG14756",3.86717810155791,2.95060851575505,0,0,0.978716910292216,1.12025281591471
"CG14757",1598.11135046881,1597.2627431954,1373.8978459361,2019.12123019723,2117.94339387236,1759.91717380202
"CG14759",0,0,0,0,0,0
"CG14760",11.6015343046737,14.7530425787753,9.24334942220007,8.55559843303911,7.82973528233773,7.841769711403
"CG14762",40.6053700663581,22.6213319541221,23.5285258019638,38.500192948676,35.2338087705198,35.8480901092709
"CG14763",5.80076715233687,7.86828937534681,4.20152246463639,4.27779921651955,7.82973528233773,4.48101126365886
"CG14764",2.90038357616843,5.9012170315101,5.88213145049095,6.41669882477933,6.85101837204551,6.72151689548829
"CG14767",0,0,0.840304492927279,0,1.95743382058443,0
"CG14770",123.749699249853,147.530425787753,102.517148137128,32.0834941238967,213.360286443703,22.4050563182943
"CG14777",7.73435620311583,13.7695064068569,4.20152246463639,10.6944980412989,12.7233198337988,7.841769711403
"CG14778",53.1736988964213,52.1274171116726,38.6540066746548,50.2641407941048,31.3189411293509,87.3797196413477
"CG14780",10.6347397792843,2.95060851575505,0,0,3.91486764116886,2.24050563182943
"CG14785",585.877482386024,536.027213695501,608.38045287935,454.516166755203,430.635440528575,432.41758694308
"CG14787",1193.99123885601,1455.63353443916,934.418596135134,1469.42403087447,1852.71111118316,1077.68320890996
"CG14795",0,0,0,0,0,0
"CG14797",0,0,1.68060898585456,0,0.978716910292216,3.36075844774414
"CG14803",0,0,0,0,0,0
"CG14805",123.749699249853,130.810310865141,137.809936840074,194.63986435164,222.168738636333,185.961967441843
"CG14810",0,0,0,0,0,0
"CG14811",18.3690959824001,17.7036510945303,18.4866988444001,16.0417470619483,14.6807536543832,10.0822753432324
"CG14817",3.86717810155791,9.83536171918351,3.36121797170912,4.27779921651955,10.7658860132144,5.60126407957357
"CG14818",0.966794525389478,3.9341446876734,0.840304492927279,3.20834941238967,0,1.12025281591471
"CG14820",31.9042193378528,37.3743745328973,10.0836539151273,41.7085423610657,40.1273933219809,47.050618268418
"CG14823",0,0,0,1.06944980412989,0.978716910292216,0
"CG14826",0.966794525389478,0.983536171918351,0.840304492927279,0,0,0
"CG14829",0.966794525389478,0.983536171918351,2.52091347878184,6.41669882477933,1.95743382058443,13.4430337909766
"CG14830",4.83397262694739,2.95060851575505,2.52091347878184,11.7639478454288,5.8723014617533,4.48101126365886
"CG14834",221.39594631419,181.954191804895,157.977244670328,167.903619248393,145.82881963354,157.955647043975
"CG14835",829.509702784172,847.808180193618,868.034541193879,627.767035024245,598.974749098836,582.531464275652
"CG14837",7.73435620311583,25.5719404698771,31.0912662383093,31.0140443197668,34.2550918602276,30.2468260296973
"CG14839",213.661590111075,210.476740790527,168.901203078383,205.334362392939,130.169349068865,146.753118884828
"CG14840",340.311672937096,342.270587827586,236.965867005493,188.22316552686,218.253870995164,225.170815998858
"CG14841",183.690959824001,186.871872664487,160.49815814911,125.125627083197,70.4676175410395,140.031601989339
"CG14851",0.966794525389478,0.983536171918351,1.68060898585456,2.13889960825978,2.93615073087665,1.12025281591471
"CG14852",0,0,0,0,0,0
"CG14853",45.4393426933055,48.1932724239992,52.9391830544186,42.7779921651955,46.9784116940264,62.734157691224
