"","CSF1","CSF2","CSF3","WTF1","WTF2","WTF3","CSM1","CSM2","CSM3","WTM1","WTM2","WTM3"
"stau",0.997216914005997,0,0,4.77486105434416,3.07704854686124,0,0.966794525389478,5.9012170315101,0.840304492927279,1.06944980412989,1.95743382058443,2.24050563182943
"stc",0,0,0,0,0,0,0,0,0,0,0,0
"stck",20.9415551941259,12.0116128565806,18.5568681857221,12.4146387412948,6.15409709372248,16.1042513507781,5.80076715233687,8.85182554726516,21.007612323182,25.6667952991173,10.7658860132144,12.3227809750619
"ste24a",533.511048993208,548.838310523758,512.375749350215,472.711244380072,556.945786981884,633.098381227466,1117.61447135024,1040.58126988962,1105.8407126923,1102.60274805792,1124.54572992576,1011.58829277099
"ste24b",4.98608457002998,10.1636724171066,32.9899878857282,4.77486105434416,5.12841424476873,12.0781885130836,718.328332364382,698.310682062029,733.585822325514,775.351107994169,658.676480626661,666.550425469255
"ste24c",0,0,0,0,0,0,1.93358905077896,2.95060851575505,1.68060898585456,3.20834941238967,2.93615073087665,3.36075844774414
"step",340.050967676045,313.225904490832,358.766118257294,355.249662443206,304.627806139263,470.042836300837,327.743344107033,309.81389415428,332.760579199202,351.848985558733,395.401631758055,329.354327878926
"stet",2.99165074201799,1.84794043947393,4.12374848571602,4.77486105434416,4.10273139581499,4.02606283769454,0.966794525389478,0.983536171918351,3.36121797170912,0,0,0
"stg",35.8998089042159,27.719106592109,29.8971765214411,63.028165917343,34.8732168644274,36.2345655392508,20.302685033179,36.390838360979,26.8897437736729,26.7362451032472,24.4679227573054,24.6455619501237
"sti",0,0,0,0,0,0,0,0,0,0,0,0
"stil",15.9554706240959,31.4149874710569,22.6806166714381,21.9643608499832,16.4109255832599,21.1368298978963,162.421480265432,189.822481180242,192.429728880347,117.639478454288,90.0419557468839,108.664523143727
"stj",2.99165074201799,1.84794043947393,12.3712454571481,4.77486105434416,2.05136569790749,0,2.90038357616843,0.983536171918351,13.4448718868365,3.20834941238967,6.85101837204551,2.24050563182943
"stl",0.997216914005997,3.69588087894787,2.06187424285801,7.63977768695066,13.3338770363987,3.0195471282709,1.93358905077896,0.983536171918351,5.88213145049095,3.20834941238967,2.93615073087665,2.24050563182943
"stmA",0,0,0,0,0,0,0,0,0,0,0,0
"stnA",0,0,0,0,0,0,0,0,0,0,0,0
"stnB",0,0,0,0,0,0,0,0,0,0,0,0
"stol",1.99443382801199,0,0,0,0,0,0.966794525389478,0,0,0,0,0
"stops",0,0,0,0.954972210868833,0,2.01303141884727,0,0,0.840304492927279,0,0,0
"strat",180.496261435085,145.063324498704,194.847115950082,173.804942378128,196.931106999119,254.648474484179,166.28865836699,204.575523759017,201.673078302547,198.917663568159,183.020062224644,206.126518128307
"stum",2.99165074201799,7.39176175789573,9.27843409286104,2.8649166326065,1.02568284895375,6.0390942565418,0,3.9341446876734,5.88213145049095,1.06944980412989,3.91486764116886,5.60126407957357
"stumps",16.9526875381019,18.4794043947393,29.8971765214411,25.7842496934585,27.6934369217512,24.1563770261672,26.1034521855159,19.670723438367,21.8479168161093,18.1806466702081,36.212525680812,16.8037922387207
"sturkopf",0.997216914005997,2.7719106592109,2.06187424285801,5.729833265213,6.15409709372248,2.01303141884727,0,0,0,1.06944980412989,0,2.24050563182943
"stv",8.97495222605397,7.39176175789573,6.18562272857403,2.8649166326065,10.2568284895375,2.01303141884727,2.90038357616843,1.9670723438367,3.36121797170912,5.34724902064944,2.93615073087665,1.12025281591471
"stw",703.037924374228,639.387392057981,672.171003171711,375.304078871451,513.867107325827,1058.85452631366,486.297646270908,512.422345569461,341.163624128475,591.405741683828,1102.03524098904,432.41758694308
"stwl",1.99443382801199,6.46779153815877,4.12374848571602,4.77486105434416,3.07704854686124,4.02606283769454,2.90038357616843,0.983536171918351,1.68060898585456,5.34724902064944,0.978716910292216,2.24050563182943
"stx",64.8190994103898,45.2745407671114,65.9799757714563,40.108832856491,41.0273139581499,31.2019869921326,50.2733153202529,58.0286341431827,69.7452729129641,62.0280886395335,53.8294300660719,60.4936520593946
"sty",359.995305956165,315.997815150043,329.899878857282,490.85571638658,459.505916331278,337.182762656917,466.961755763118,467.179681661217,481.494474447331,639.530982869673,534.37943301955,474.987193947839
"su(Hw)",0.997216914005997,0.923970219736966,0,0,1.02568284895375,0,0.966794525389478,1.9670723438367,5.88213145049095,6.41669882477933,1.95743382058443,0
"su(f)",7.97773531204797,6.46779153815877,19.5878053071511,7.63977768695066,8.20546279162997,0,0.966794525389478,5.9012170315101,6.72243594341823,2.13889960825978,3.91486764116886,12.3227809750619
"su(r)",900.486873347415,971.092700943552,830.935319871778,1080.07357049265,1057.47901727131,946.124766858216,432.157152849097,518.323562600971,453.764426180731,828.823598200664,916.079028033514,728.164330344564
"su(sable)",0.997216914005997,1.84794043947393,2.06187424285801,5.729833265213,2.05136569790749,0,2.90038357616843,0.983536171918351,2.52091347878184,1.06944980412989,0.978716910292216,2.24050563182943
"su(w[a])",173.515743037043,230.992554934242,138.145574271487,104.091970984703,103.593967744328,95.6189923952452,57.0408769979792,56.061561799346,63.0228369695459,135.820125124496,70.4676175410395,106.424017511898
"sub",0,0,0,0,0,0,0,0,0,0,0,0
"subdued",0,0,0,0,0,1.00651570942363,0,0,0,0,0,0
"sud1",75.7884854644558,85.0052602158009,80.4130954714624,80.217665712982,82.0546279162997,86.5603510104325,94.7458634881689,106.221906567182,91.5931897290734,103.736631000599,135.062933620326,96.3417421686654
"sug",1.99443382801199,2.7719106592109,0,0,3.07704854686124,0,2.90038357616843,1.9670723438367,6.72243594341823,2.13889960825978,0.978716910292216,7.841769711403
"sun",40.8858934742459,50.8183620855332,63.9181015285983,36.2889440130156,40.0016311091961,44.2866912146399,34.8046029140212,32.4566936733056,58.8213145049095,60.9586388354037,52.8507131557797,59.3733992434799
"sunn",17.9499044521079,12.0116128565806,19.5878053071511,3.81988884347533,11.2825113384912,7.04560996596544,25.1366576601264,24.5884042979588,27.7300482666002,26.7362451032472,38.1699595013964,31.367078845612
"sunz",0,0,14.4331197000061,0,1.02568284895375,0,518.20186560876,390.463860251585,393.262502689966,393.557527919799,308.295826742048,331.594833510755
"superdeath",3.98886765602399,10.1636724171066,7.21655985000303,7.63977768695066,9.23114564058372,6.0390942565418,5.80076715233687,18.6871872664487,5.88213145049095,7.48614862890922,3.91486764116886,5.60126407957357
"sut1",503.594541573028,548.838310523758,509.282937985928,429.737494890975,420.529968071036,455.951616368906,286.171179515286,290.143170715913,224.361299611583,410.668724785877,383.657028834549,472.746688316009
"sut2",29.9165074201799,39.7307194486896,39.1756106143022,38.1988884347533,16.4109255832599,20.1303141884727,11.6015343046737,14.7530425787753,15.9657853656183,28.875144711507,17.6169043852599,12.3227809750619
"sut3",0,0,0,0,0,0,0,0,0,0,0,0
"sut4",4.98608457002998,0,87.6296553214654,0,0,2.01303141884727,2143.38346278847,1951.33576508601,2117.56732217674,2167.77475297128,1656.96772912472,1915.63231521416
"sv",0,2.7719106592109,4.12374848571602,0,0,3.0195471282709,0,0.983536171918351,4.20152246463639,1.06944980412989,0,0
"svp",0,1.84794043947393,1.030937121429,0.954972210868833,2.05136569790749,0,0,0,0.840304492927279,2.13889960825978,1.95743382058443,0
"svr",4.98608457002998,9.23970219736966,4.12374848571602,8.5947498978195,10.2568284895375,5.03257854711817,1.93358905077896,7.86828937534681,11.7642629009819,5.34724902064944,8.80845219262994,3.36075844774414
"sw",1.99443382801199,1.84794043947393,3.09281136428701,6.68480547608183,6.15409709372248,3.0195471282709,5.80076715233687,11.8024340630202,4.20152246463639,1.06944980412989,1.95743382058443,8.96202252731772
"swa",29.9165074201799,18.4794043947393,24.7424909142961,9.54972210868833,13.3338770363987,11.07167280366,41.5721645917476,51.1438809397542,31.9315707312366,39.5696427528059,28.3827903984743,47.050618268418
"swi2",116.674378938702,111.800396588173,112.372146235762,120.326498569473,95.3885049526984,86.5603510104325,87.011507285053,88.5182554726516,100.836539151273,82.3476349180014,78.2973528233773,129.949326646107
"swif",0,0,0,0,0,0,0,0,0,0,0,0
"swm",0,0,0,0,0,0,0,0,0,0,0,0
"sws",0.997216914005997,11.0876426368436,6.18562272857403,4.77486105434416,2.05136569790749,0,3.86717810155791,0.983536171918351,5.88213145049095,7.48614862890922,1.95743382058443,5.60126407957357
"sxc",2.99165074201799,0,0,0,0,0,0,0,0.840304492927279,0,0,0
"sxe2",7.97773531204797,14.7835235157915,22.6806166714381,10.5046943195572,12.308194187445,18.1172827696254,28.0370412362949,25.5719404698771,42.8555291392912,25.6667952991173,51.8719962454874,47.050618268418
"syd",9.97216914005997,22.1752852736872,16.4949939428641,8.5947498978195,17.4366084322137,12.0781885130836,18.3690959824001,19.670723438367,9.24334942220007,16.0417470619483,9.78716910292216,15.683539422806
"synr",10.969386054066,6.46779153815877,9.27843409286104,2.8649166326065,13.3338770363987,15.0977356413545,3.86717810155791,5.9012170315101,5.88213145049095,6.41669882477933,7.82973528233773,10.0822753432324
"t",91.7439560885517,97.0168730723815,73.1965356214593,0.954972210868833,0,2.01303141884727,3.86717810155791,0,3.36121797170912,0,0,0
"t-Grip128",0,0,11.3403083357191,0,0,0,268.768878058275,272.439519621383,252.091347878184,265.223551424212,206.509268071658,240.854355421664
"t-Grip84",0,0,61.8562272857403,0,0,0,2003.198256607,1795.93704992291,2133.53310754236,1380.65969713169,1135.31161593897,1379.03121639101
"t-Grip91",0,1.84794043947393,128.867140178626,0,0,2.01303141884727,1833.04242013845,1856.91629258185,2188.99320407556,1776.35612465975,1344.7570347415,1743.1133815633
"t-cup",0,2.7719106592109,23.7115537928671,0,0,1.00651570942363,465.028166712339,542.91196689893,559.642792289568,352.918435362863,284.806620895035,413.37328907253
"tHMG1",8.97495222605397,2.7719106592109,71.1346613786013,0,0,5.03257854711817,1953.89173581214,2189.35151869025,1865.47597429856,1288.68701397652,1128.46059756692,1237.87936158576
"tHMG2",11.966602968072,2.7719106592109,2.06187424285801,0,0,0,26.1034521855159,14.7530425787753,21.8479168161093,13.9028474536886,7.82973528233773,17.9240450546354
"tacc",0,0,0,0,0,1.00651570942363,0,0,0,0,0,0
"tadr",0,0,0,0,0,0,0,0,0,0,0,0
"tai",0,0,0,0,0,0,0,0,0,0,0,0
"tal-1A",0,0,0,0,0,0,0,0,0,0,0,0
"tal-2A",0,0,0,0,0,0,0,0,0,0,0,0
"tal-3A",0,0,0,0,0,0,0,0,0,0,0,0
"tal-AA",0,0,0,0,0,0,0,0,0,0,0,0
"tamo",0,0,0,0,0,0,0.966794525389478,3.9341446876734,4.20152246463639,7.48614862890922,3.91486764116886,2.24050563182943
"tank",1.99443382801199,0,2.06187424285801,7.63977768695066,4.10273139581499,1.00651570942363,5.80076715233687,4.91768085959175,6.72243594341823,7.48614862890922,4.89358455146108,2.24050563182943
"tant",1.99443382801199,6.46779153815877,6.18562272857403,4.77486105434416,2.05136569790749,7.04560996596544,3.86717810155791,0.983536171918351,3.36121797170912,3.20834941238967,3.91486764116886,5.60126407957357
"tap",0.997216914005997,3.69588087894787,2.06187424285801,0,2.05136569790749,0,0.966794525389478,0,2.52091347878184,3.20834941238967,2.93615073087665,3.36075844774414
"tapas",10.969386054066,12.0116128565806,18.5568681857221,20.0544164282455,12.308194187445,6.0390942565418,12.5683288300632,30.4896213294689,0.840304492927279,10.6944980412989,13.702036744091,16.8037922387207
"tara",11.966602968072,9.23970219736966,20.6187424285801,12.4146387412948,22.5650226769824,9.05864138481271,12.5683288300632,8.85182554726516,15.125480872691,14.9722972578184,16.6381874749677,10.0822753432324
"tau",109.69386054066,123.812009444754,107.217460628617,103.136998773834,105.645333442236,89.5798981387034,172.089425519327,138.678600240487,225.201604104511,162.556370227743,204.551834251073,173.639186466781
"tay",15.9554706240959,14.7835235157915,13.4021825785771,21.0093886391143,12.308194187445,18.1172827696254,17.4023014570106,29.5060851575505,22.6882213090365,20.3195462784679,40.1273933219809,39.208848557015
"tbc",30.9137243341859,15.7074937355284,20.6187424285801,23.8743052717208,29.7448026196586,19.123798479049,34.8046029140212,23.6048681260404,25.2091347878184,31.0140443197668,15.6594705646755,19.0442978705501
"tbrd-1",0,0,0,0,0,0,1.93358905077896,9.83536171918351,3.36121797170912,0,0,2.24050563182943
"tbrd-2",0.997216914005997,0,21.6496795500091,0,0,0,369.315508698781,347.188268687178,347.045755578966,313.348792610057,319.061712755262,331.594833510755
"tbrd-3",0,0,7.21655985000303,0,0,0,47.3729317440844,47.2097362520808,71.4258818988187,67.375337660183,65.5740329895785,67.2151689548829
"tctn",0,0,0,0,0,0,0,0,0,0,0,0
"tea",0,0,0,0,0,0,0,0,0,0,0,0
"tef",82.7690038624977,94.2449624131706,73.1965356214593,93.5872766651456,76.926213671531,54.3518483088762,88.945096335832,81.6335022692231,85.7110582785824,90.9032333510405,64.5953160792862,60.4936520593946
"tefu",139.61036796084,144.139354278967,153.609631092922,113.641693093391,139.49286745771,145.944777866427,289.071563091454,199.657842899425,264.695915272093,218.167760042497,224.126172456917,245.335366685322
"tei",0,0,0,0,0,0,0,0,0,0,0,0
"tej",77.7829192924678,92.3970219736967,78.3512212286044,63.9831381282118,43.0786796560574,38.2475969580981,26.1034521855159,15.7365787506936,22.6882213090365,20.3195462784679,24.4679227573054,33.6075844774414
"temp",28.9192905061739,25.8711661526351,16.4949939428641,21.0093886391143,22.5650226769824,29.1889555732854,20.302685033179,19.670723438367,32.7718752241639,16.0417470619483,34.2550918602276,23.525309134209
"teq",0,0,1.030937121429,0,0,0,2.90038357616843,0,0,0,0,0
"term",0,0,0,1.90994442173767,0,0,0,0,0,0,0,4.48101126365886
"tex",78.7801362064737,91.4730517539597,69.0727871357433,82.1276101347196,78.9775793694385,108.703696617752,82.1775346581056,72.781676721958,79.8289268280915,69.5142372684428,104.722709401267,63.8544105071387
"tey",1.99443382801199,0,0,0,0,0,2.90038357616843,5.9012170315101,10.0836539151273,2.13889960825978,1.95743382058443,7.841769711403
"tfc",321.103846309931,327.085457786886,307.219262185843,203.409080915061,198.982472697027,361.339139683085,241.69863134737,406.200439002279,335.281492677984,288.75144711507,447.273628003543,321.512558167523
"tgo",123.654897336744,93.3209921934336,86.5987182000364,103.136998773834,100.516919197467,115.749306583718,108.280986843622,91.4688639884066,74.7870998705278,142.236823949275,114.509878504189,118.74679848696
"tgy",2.99165074201799,1.84794043947393,1.030937121429,7.63977768695066,3.07704854686124,9.05864138481271,1.93358905077896,1.9670723438367,2.52091347878184,0,2.93615073087665,6.72151689548829
"thetaTry",62.8246655823778,140.443473400019,63.9181015285983,262.617357988929,99.4912363485134,22.1433456073199,0,2.95060851575505,0,0,0,5.60126407957357
"tho2",0,0,0,0,0,0,0,0,0,0,0,0
"thoc5",119.66602968072,130.279800982912,116.495894721478,125.101359623817,106.67101629119,108.703696617752,119.882521148295,135.727991724732,139.490545825928,180.737016897951,170.296742390846,148.993624516657
"thoc6",0,0,0,0,0,0,0,0,0,0,0,0
"thoc7",0,0,0,0,0,0,0,0,0,0,0,0
"thr",0,0,0,0,0,0,0,0,0,0,0,0
"ths",325.092713965955,237.4603464724,310.31207355013,337.105190436698,274.883003519604,240.557254552249,368.348714173391,265.554766417955,404.186461098021,364.682383208292,348.423220064029,319.272052535694
"thw",187.476779833127,206.045359001344,184.537744735792,162.345275847702,245.138200899945,267.733178706687,112.148164945179,159.332859850773,167.220594092529,71.6531368767025,272.083301061236,87.3797196413477
"tilB",1.99443382801199,5.5438213184218,26.8043651571541,1.90994442173767,7.17977994267623,13.0847042225072,296.80591929457,253.752332354935,228.56282207622,178.598117289691,154.63727182617,156.83539422806
