file,relative_path,session,condition,series,settings_group,tmrm_gain,tmrm_offset,mtg_gain,mtg_offset,tmrm_threshold,mtg_threshold,mask_pixels,mask_fraction,tmrm_mean_in_mask,mtg_mean_in_mask,tmrm_integrated_raw,mtg_integrated_raw,tmrm_background_median,mtg_background_median,tmrm_integrated_bg_corrected,mtg_integrated_bg_corrected,tmrm_mtg_ratio_raw,tmrm_mtg_ratio_bg_corrected,tmrm_mtg_highpass_correlation,tmrm_mtg_mask_dice,mtg_enrichment_in_tmrm_mask,estimated_shift_x_px,estimated_shift_y_px,estimated_shift_magnitude_px,tmrm_saturated_fraction,mtg_saturated_fraction,qc_auto_flags,qc_include,settings_has_WR_and_CS,group_WR_mean_ratio,normalized_to_group_WR_mean,primary_analysis_include,primary_exclusion_reason
TMRM MTG CS WR ZZ.lif - 7.16.26 CS_Series014.tif,864_-99 1143_-51/TMRM MTG CS WR ZZ.lif - 7.16.26 CS_Series014.tif,7.16.26 CS,CS,Series014,864_-99 1143_-51,864,-99,1143,-51,83,70,287679,0.2743520736694336,156.7702195850236,120.87159994299202,45099500.0,34772221.0,0.0,24.0,45099500.0,27867927.0,1.2969979685795738,1.61832991739931,0.9056054949760437,0.8661418789883087,3.782967250785278,0,0,0.0,0.0016279220581054688,9.5367431640625e-07,,Yes,No,nan,nan,No,unmatched acquisition setting
TMRM MTG CS WR ZZ.lif - 7.16.26 CS_Series016.tif,864_-99 1143_-51/TMRM MTG CS WR ZZ.lif - 7.16.26 CS_Series016.tif,7.16.26 CS,CS,Series016,864_-99 1143_-51,864,-99,1143,-51,80,52,187648,0.178955078125,155.63379305934515,97.10631075204638,29204370.0,18221805.0,0.0,13.0,29204370.0,15782392.0,1.6027155377856366,1.8504400346918262,0.9436224102973938,0.826885968106022,5.048372413202977,0,0,0.0,0.0009918212890625,0.0,,Yes,No,nan,nan,No,unmatched acquisition setting
TMRM MTG CS WR ZZ.lif - 7.16.26 CS_Series018_2.tif,864_-99 1143_-51/TMRM MTG CS WR ZZ.lif - 7.16.26 CS_Series018_2.tif,7.16.26 CS,CS,Series018_2,864_-99 1143_-51,864,-99,1143,-51,68,64,268410,0.25597572326660156,127.56430460862114,108.52770761148989,34239535.0,29129922.0,0.0,27.0,34239535.0,21882917.0,1.1754077130724896,1.5646696004924754,0.8697186708450317,0.8226814661023716,3.2388835567246694,0,0,0.0,6.771087646484375e-05,0.0,,Yes,No,nan,nan,No,unmatched acquisition setting
TMRM MTG CS WR ZZ.lif - 7.16.26 CS_Series021.tif,864_-99 1143_-51/TMRM MTG CS WR ZZ.lif - 7.16.26 CS_Series021.tif,7.16.26 CS,CS,Series021,864_-99 1143_-51,864,-99,1143,-51,30,15,14050,0.013399124145507812,65.02896797153025,43.97202846975089,913657.0,617807.0,0.0,6.0,913657.0,533544.0,1.4788712332492187,1.7124304649663382,0.7681448459625244,0.12850331324735784,4.974190065759555,0,0,0.0,9.5367431640625e-07,0.0,,Yes,No,nan,nan,No,unmatched acquisition setting
TMRM MTG CS WR ZZ.lif - 7.10.26 WR_Series029.tif,905_-99 1143_-51/TMRM MTG CS WR ZZ.lif - 7.10.26 WR_Series029.tif,7.10.26 WR,WR,Series029,905_-99 1143_-51,905,-99,1143,-51,25,31,74525,0.07107257843017578,49.57088225427709,62.674136195907415,3694270.0,4670790.0,0.0,13.0,3694270.0,3702297.0,0.7909304421735938,0.9978318865288225,0.7953633069992065,0.49761222878706884,3.7555552556323857,0,0,0.0,0.0,0.0,,Yes,Yes,1.4422844977544238,0.5483872588279491,Yes,
TMRM MTG CS WR ZZ.lif - 7.10.26 WR_Series031.tif,905_-99 1143_-51/TMRM MTG CS WR ZZ.lif - 7.10.26 WR_Series031.tif,7.10.26 WR,WR,Series031,905_-99 1143_-51,905,-99,1143,-51,28,24,64225,0.061249732971191406,55.43006617360841,47.99117166212534,3559996.0,3082233.0,0.0,11.0,3559996.0,2377129.0,1.155005478171183,1.497603201172507,0.850391149520874,0.4285166787046181,3.584243540248458,0,0,0.0,0.000217437744140625,0.0,,Yes,Yes,1.4422844977544238,0.800816676577664,Yes,
TMRM MTG CS WR ZZ.lif - 7.10.26 WR_Series033.tif,905_-99 1143_-51/TMRM MTG CS WR ZZ.lif - 7.10.26 WR_Series033.tif,7.10.26 WR,WR,Series033,905_-99 1143_-51,905,-99,1143,-51,20,17,42740,0.040760040283203125,40.83724847917642,35.79124941506785,1745384.0,1529718.0,0.0,8.0,1745384.0,1189081.0,1.1409841552495297,1.4678428130631975,0.8129788041114807,0.3000252618487787,3.5819717557205566,0,0,0.0,0.0,0.0,,Yes,Yes,1.4422844977544238,0.7910950696800763,Yes,
TMRM MTG CS WR ZZ.lif - 7.10.26 WR_Series035.tif,905_-99 1143_-51/TMRM MTG CS WR ZZ.lif - 7.10.26 WR_Series035.tif,7.10.26 WR,WR,Series035,905_-99 1143_-51,905,-99,1143,-51,20,19,46747,0.04458141326904297,40.311399662010395,41.511947290735236,1884437.0,1940559.0,0.0,9.0,1884437.0,1520904.0,0.9710794673081313,1.2390242908165143,0.7863092422485352,0.32304000834593916,3.717385969437751,0,0,0.0,0.0,0.0,,Yes,Yes,1.4422844977544238,0.6732925915934486,Yes,
TMRM MTG CS WR ZZ.lif - 7.10.26 WR_Series037.tif,905_-99 1143_-51/TMRM MTG CS WR ZZ.lif - 7.10.26 WR_Series037.tif,7.10.26 WR,WR,Series037,905_-99 1143_-51,905,-99,1143,-51,63,24,31277,0.02982807159423828,132.23061674713048,61.4071042619177,4135777.0,1920630.0,0.0,6.0,4135777.0,1733050.0,2.153343954848149,2.3864152794206746,0.903340220451355,0.4096941556189438,6.7788726449826635,0,0,0.0,0.0027723312377929688,0.00023365020751953125,,Yes,Yes,1.4422844977544238,1.4930091519397282,Yes,
TMRM MTG CS WR ZZ.lif - 7.10.26 WR_Series039.tif,905_-99 1143_-51/TMRM MTG CS WR ZZ.lif - 7.10.26 WR_Series039.tif,7.10.26 WR,WR,Series039,905_-99 1143_-51,905,-99,1143,-51,46,25,85554,0.08159065246582031,89.72562358276645,47.25715922107675,7676386.0,4043039.0,0.0,11.0,7676386.0,3103827.0,1.8986673143642692,2.473200342673738,0.9108177423477173,0.5229775232886078,3.4998080504141793,0,0,0.0,0.00011920928955078125,0.0,,Yes,Yes,1.4422844977544238,1.3164305082113925,Yes,
