experiment,acquisition_date,dose_mM,genotype,well,source_sheet,source_cell,raw_absorbance,blank,corrected_absorbance,matched_control_mean,normalized_pct
2,2026-07-28,20,CS,4,7.28.26 raw,I32,0.35409998893737793,0.10319999853769939,0.25089999039967853,0.5807666679223379,43.20151349202943
2,2026-07-28,20,CS,5,7.28.26 raw,I33,0.3882000148296356,0.10319999853769939,0.2850000162919362,0.5807666679223379,49.07306703938584
2,2026-07-28,20,CS,6,7.28.26 raw,I34,0.35499998927116394,0.10319999853769939,0.25179999073346454,0.5807666679223379,43.35648112076847
2,2026-07-28,40,WT,1,7.28.26 raw,F29,0.20190000534057617,0.10319999853769939,0.09870000680287679,0.6345999936262767,15.55310554588539
2,2026-07-28,40,WT,2,7.28.26 raw,F30,0.21940000355243683,0.10319999853769939,0.11620000501473744,0.6345999936262767,18.310747901325847
2,2026-07-28,40,WT,3,7.28.26 raw,F31,0.22689999639987946,0.10319999853769939,0.12369999786218007,0.6345999936262767,19.492593618749453
2,2026-07-28,40,WT,4,7.28.26 raw,F32,0.2345000058412552,0.10319999853769939,0.1313000073035558,0.6345999936262767,20.690199908965
2,2026-07-28,40,WT,5,7.28.26 raw,F33,0.21310000121593475,0.10319999853769939,0.10990000267823537,0.6345999936262767,17.317996183743542
2,2026-07-28,40,WT,6,7.28.26 raw,F34,0.2053000032901764,0.10319999853769939,0.102100004752477,0.6345999936262767,16.088875792300254
2,2026-07-28,40,CS,1,7.28.26 raw,G29,0.22830000519752502,0.10319999853769939,0.12510000665982562,0.5807666679223379,21.540493552662777
2,2026-07-28,40,CS,2,7.28.26 raw,G30,0.2386000007390976,0.10319999853769939,0.1354000022013982,0.5807666679223379,23.314010545023972
2,2026-07-28,40,CS,3,7.28.26 raw,G31,0.2565000057220459,0.10319999853769939,0.1533000071843465,0.5807666679223379,26.3961442093034
2,2026-07-28,40,CS,4,7.28.26 raw,G32,0.2581999897956848,0.10319999853769939,0.15499999125798541,0.5807666679223379,26.688857990505845
2,2026-07-28,40,CS,5,7.28.26 raw,G33,0.250900000333786,0.10319999853769939,0.1477000017960866,0.5807666679223379,25.431900615866194
2,2026-07-28,40,CS,6,7.28.26 raw,G34,0.24619999527931213,0.10319999853769939,0.14299999674161273,0.5807666679223379,24.62262465116803
