,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,gene
CG10512,182.256128349544,-0.404839847046829,0.22144051853166,-1.82821034619709,0.0675179888491522,0.246734603050332,CG10512
pros,19.3626295133156,1.04938509752611,0.57420021192794,1.8275595789188,0.0676156768822528,0.246888661941448,pros
Tob,507.081068957316,-0.299383349302915,0.163828273187988,-1.82742174764537,0.0676363819371379,0.246888661941448,Tob
CG5355,2074.10133220118,-0.241523566949527,0.132166375444369,-1.82742067441494,0.0676365431785958,0.246888661941448,CG5355
mei-P22,22.8344809469406,-0.88897434255143,0.4866140786146,-1.82685701384218,0.0677212708925453,0.247104900753943,mei-P22
CG13339,85.1962393727577,-0.562806499090346,0.308135143694249,-1.82649240311517,0.0677761245408167,0.247212011822129,CG13339
CG8773,64.1809535480891,-1.98729665986331,1.08818565153445,-1.82624780712835,0.067812943120069,0.247253284523907,CG8773
ND-B18,26.1637933140411,-0.873883420861602,0.478606683498852,-1.82589055061472,0.0678667498411271,0.247356443499898,ND-B18
Srg1,1792.49975995364,-0.369744153749345,0.202621589677756,-1.82480136661338,0.0680310095721071,0.247861945810439,Srg1
CG14621,4.09335368384137,-2.50540654226856,1.37367611309274,-1.82386991983708,0.0681717401845267,0.248222225316881,CG14621
hth,350.829012036304,-0.340881704144781,0.186906572358379,-1.82380801190429,0.0681811022195826,0.248222225316881,hth
CG1785,217.218679759024,-0.390291420226055,0.214026817288374,-1.82356316451777,0.0682181396559608,0.248263837824527,CG1785
CG11788,52.938288411418,-0.605069803959328,0.332074743984716,-1.82208919804867,0.0684414524691574,0.248920351733879,CG11788
CG4968,1584.54083760347,0.236624778015095,0.129874153833103,1.82195433834489,0.0684619143154175,0.248920351733879,CG4968
CG13868,55.4735536634893,0.612686736828084,0.336296562600324,1.82186440471067,0.0684755624625327,0.248920351733879,CG13868
Antdh,119.92721675454,-0.564103927702213,0.309666423478617,-1.82165028215003,0.0685080662723291,0.248945165858407,Antdh
CG4766,207.605951311592,-0.365453602576099,0.20068802343621,-1.8210035472907,0.068606317646094,0.249160041770236,CG4766
CG7656,54.0428650765953,-0.598485849939033,0.328732365100629,-1.82058693781438,0.0686696698871438,0.249160041770236,CG7656
Dtwd2,32.6769824609107,-0.827601504551259,0.454609468831399,-1.82046693105328,0.0686879277818464,0.249160041770236,Dtwd2
mRpS26,683.112093935685,-0.325904700762154,0.179025342311438,-1.82043891973238,0.068692190013847,0.249160041770236,mRpS26
lncRNA:CR45692,4.71782223333523,2.09415182979901,1.1503700160624,1.8204158666853,0.0686956979527427,0.249160041770236,lncRNA:CR45692
scrt,431.306625213063,-0.353111333556892,0.194126393793225,-1.81897642384998,0.0689150270247929,0.249819815043252,scrt
Cyp310a1,195.200904445272,0.358101565945916,0.196879833314688,1.8188839350221,0.0689291392718618,0.249819815043252,Cyp310a1
how,462.6776357763,-0.351582306839595,0.193471080782993,-1.8172344177575,0.0691812270320174,0.250639759370482,how
qin,43.0934128922756,0.652628222741925,0.35922206534067,1.81678211254368,0.0692504827944012,0.250796948334598,qin
Ccdc85,153.250320226129,-0.414541203189678,0.228194948343686,-1.81660990393764,0.0692768658778086,0.250798810562119,Ccdc85
CG6329,677.317174659582,-0.32552315525863,0.179228290623766,-1.81624873018493,0.0693322260310782,0.250905536159501,CG6329
CG40006,183.706323169315,-0.563867418173809,0.310538822854262,-1.81577109422623,0.069405493120124,0.251076961119254,CG40006
lncRNA:CR45417,5.39223004380621,2.04614057533407,1.12724946895816,1.81516215503315,0.0694989936932359,0.251321426279717,lncRNA:CR45417
CG14937,48.2386991687505,0.660410853020156,0.363921618707077,1.81470629682961,0.0695690568692141,0.25137621366775,CG14937
CG33331,62.6597306177314,-0.564891093892329,0.311305167611305,-1.81458951750409,0.0695870146085417,0.25137621366775,CG33331
CG15422,148.880844118537,-0.566579637405889,0.312241204151859,-1.81455755957926,0.0695919296012626,0.25137621366775,CG15422
