comparison,sex,analysis,direction,ID,Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalue,rank,leading_edge,core_enrichment,gene_symbols,significant_BH_0.05
CSM_vs_WRM,Male,GSEA,Higher_in_WR,dme03030,DNA replication,24,-0.3920697367222042,-1.1220769252639151,0.30919765166340507,0.5340686710549724,0.4311436837958621,2836,"tags=38%, list=21%, signal=30%",43278/3772329/42553/36887/42758/38228/41296/35257/38942,PolA2/Chrac-14/PolA1/Fen1/PolE1/PolD2/Mcm5/PCNA2/Prim1,FALSE
CSM_vs_WRM,Male,GSEA,Higher_in_WR,dme00051,Fructose and mannose metabolism,25,-0.39310620389103734,-1.121263959718504,0.3147410358565737,0.5366738175503115,0.43324677000500017,2763,"tags=44%, list=20%, signal=35%",39280/41192/37638/36730/41313/39436/45875/33716/35586/38463/44008,CG7551/Mpi/Gmer/Gmppa/Sodh2/Pmm2/Hex-A/Gmd/CG9436/CG10863/Hex-C,FALSE
CSM_vs_WRM,Male,GSEA,Higher_in_CS,dme04120,Ubiquitin mediated proteolysis,87,0.27550008820652166,1.0571770677372008,0.3204301075268817,0.539458282292092,0.435494616492231,4196,"tags=40%, list=31%, signal=28%",32995/37713/38437/37808/40900/42062/34699/41467/32996/42753/36999/33318/34420/41682/44118/38916/45906/34968/45922/326237/32510/38456/32190/31564/33035/3355079/38961/36298/40548/42793/35315/318886/38516/39884/33901,SkpD/SkpF/CG10862/fzr2/Ubc84D/Keap1/Ube4B/CG14739/SkpC/Cdc16/Smurf/CG5440/RpS27A/Ubc87F/vih/UbcE2M/mr/fzy/fzr/Ubi-p5E/HUWE1/Ubi-p63E/CG2574/CG11700/HERC2/CG40045/Cbl/SkpB/Skp2/CG10254/Cdc23/CG31687/ago/sina/Rchy1,FALSE
CSM_vs_WRM,Male,GSEA,Higher_in_WR,dme00970,Aminoacyl-tRNA biosynthesis,35,-0.3523424020332451,-1.085424681034348,0.32688588007736946,0.5434477756286268,0.438715260103838,2787,"tags=31%, list=20%, signal=25%",43699/39828/318604/41733/36547/31740/45786/32539/38595/42888/38581,CG1750/GluRS-m/Slimp/MetRS-m/PheRS-m/alpha-PheRS/GlnRS/ArgRS/AlaRS-m/beta-PheRS/LeuRS-m,FALSE
CSM_vs_WRM,Male,GSEA,Higher_in_WR,dme04382,Cornified envelope formation,29,-0.36556981650785814,-1.0941009543303986,0.3416030534351145,0.5486503452605147,0.442915197598516,3240,"tags=45%, list=24%, signal=34%",34910/33727/37887/317841/39245/34835/32604/38723/34093/47877/41062/47220/26067068,lace/Col4a1/Fatp3/Elo68alpha/Elo68beta/CG33090/Fur2/LanA/Tg/tws/pyd/Fur1/Fatp1,FALSE
CSM_vs_WRM,Male,GSEA,Higher_in_WR,dme00561,Glycerolipid metabolism,39,-0.3402462536048932,-1.081275144073082,0.34205607476635513,0.5486503452605147,0.442915197598516,990,"tags=15%, list=7%, signal=14%",40946/40472/40097/35586/40471/38463,CG2767/CG11425/Aldh7A1/CG9436/CG11426/CG10863,FALSE
CSM_vs_WRM,Male,GSEA,Higher_in_WR,dme04081,Hormone signaling,47,-0.3191755869055851,-1.0633905818813592,0.3451492537313433,0.5486503452605147,0.442915197598516,3055,"tags=28%, list=22%, signal=22%",3355131/48973/37805/34284/41927/35419/41726/31744/36368/36384/38765/33253/36104,cta/Src64B/Galphas/Pka-C1/CG31183/Ac3/Dop1R1/Gbeta5/Dh44-R2/Galphaq/Galphai/Pkg21D/Galphao,FALSE
CSM_vs_WRM,Male,GSEA,Higher_in_WR,dme00010,Glycolysis / Gluconeogenesis,49,-0.313204630085804,-1.0492271349451425,0.3465160075329567,0.5486503452605147,0.442915197598516,1126,"tags=18%, list=8%, signal=17%",45875/3771877/40946/40097/59175/39988/41311/44008/38697,Hex-A/Adh/CG2767/Aldh7A1/CG18814/CG7430/Fdh/Hex-C/CG10467,FALSE
CSM_vs_WRM,Male,GSEA,Higher_in_CS,dme00981,Insect hormone biosynthesis,23,0.3670984726842214,1.0567616576211554,0.3665987780040733,0.5669492729597878,0.45768758086187855,1947,"tags=30%, list=14%, signal=26%",45282/34256/31824/5740633/44858/5740359/43244,dib/Aldh/CG10962/nvd/sad/spok/CG31075,FALSE
CSM_vs_WRM,Male,GSEA,Higher_in_WR,dme03015,mRNA surveillance pathway,71,-0.28634876964627154,-1.0426586490367502,0.3648148148148148,0.5669492729597878,0.45768758086187855,2213,"tags=23%, list=16%, signal=19%",34153/36658/31724/37780/33259/34658/44289/39483/41185/37402/47877/40569/42922/40987/49260/41965,Wdr82/Pcf11/Upf2/Pym/Clp/eRF3/flw/Srrm1/Pnn/mago/tws/Fip1/Pp1alpha-96A/CG7483/Pp1-87B/Bin1,FALSE
CSM_vs_WRM,Male,GSEA,Higher_in_WR,dme00590,Arachidonic acid metabolism,12,-0.4461852274009007,-1.0767830964835392,0.3770833333333333,0.5764607279693487,0.46536600120992133,3545,"tags=42%, list=26%, signal=31%",32164/43461/31747/39856/41173,CG1492/CG14507/GIIIspla2/Su(P)/p23,FALSE
CSM_vs_WRM,Male,GSEA,Higher_in_WR,dme00770,Pantothenate and CoA biosynthesis,11,-0.4449603874510739,-1.0540515379650508,0.38477366255144035,0.5815329218106997,0.4694606887589344,929,"tags=27%, list=7%, signal=25%",40916/38647/31858,pyd3/Ppat-Dpck/su(r),FALSE
CSM_vs_WRM,Male,GSEA,Higher_in_WR,dme04745,Phototransduction - fly,30,-0.33892837812671317,-1.0237507367124612,0.41385767790262173,0.6184614737196482,0.4992724204147536,1724,"tags=30%, list=13%, signal=26%",48632/40148/40664/48311/36384/36329/32343/35526/37368,Act87E/Gbeta76C/Itpr/Pkc53E/Galphaq/Cam/inaE/Act42A/Act57B,FALSE
CSM_vs_WRM,Male,GSEA,Higher_in_WR,dme00531,Glycosaminoglycan degradation,14,-0.4015935235693648,-1.0142667886371897,0.4277227722772277,0.6320792079207921,0.5102657634184471,781,"tags=21%, list=6%, signal=20%",36394/31808/39994,CG8646/Hexo2/CG7402,FALSE
CSM_vs_WRM,Male,GSEA,Higher_in_WR,dme04512,ECM-receptor interaction,10,-0.43545211153240726,-1.0108897183227468,0.4364754098360656,0.6379255989911727,0.5149854459604244,3639,"tags=40%, list=27%, signal=29%",33941/33727/31612/38723,Tsp/Col4a1/CG3168/LanA,FALSE
CSM_vs_WRM,Male,GSEA,Higher_in_WR,dme00520,Amino sugar and nucleotide sugar metabolism,38,-0.31730764418352064,-1.0019797693050085,0.4490566037735849,0.6491796554552912,0.5240706359829023,2537,"tags=32%, list=19%, signal=26%",41192/36730/31935/38370/33783/39434/43373/39436/38911/45875/31808/44008,Mpi/Gmppa/Cht6/Cht7/Oscillin/nst/Gfat2/Pmm2/Uxs/Hex-A/Hexo2/Hex-C,FALSE
CSM_vs_WRM,Male,GSEA,Higher_in_WR,dme00565,Ether lipid metabolism,22,-0.3620602947827965,-1.0075060204512127,0.4556213017751479,0.6515874530762868,0.5260144061241095,3427,"tags=32%, list=25%, signal=24%",31899/40468/43461/34063/31747/40472/40471,LPCAT/laza/CG14507/CG7149/GIIIspla2/CG11425/CG11426,FALSE
CSM_vs_WRM,Male,GSEA,Higher_in_WR,dme04068,FoxO signaling pathway,54,-0.28671657719183385,-0.9851797282088175,0.4628252788104089,0.6548485327849403,0.5286470149906126,1801,"tags=19%, list=13%, signal=16%",43991/34708/31738/41140/43673/41295/38890/33944/34780/40048,Pten/Sirt1/Smox/Ras85D/dco/Art1/nmo/homer/p38b/Cat,FALSE
CSM_vs_WRM,Male,GSEA,Higher_in_WR,dme00541,Biosynthesis of various nucleotide sugars,13,-0.39746819879829354,-0.9899639457889234,0.46975806451612906,0.6576612903225807,0.5309177017246002,2430,"tags=31%, list=18%, signal=25%",32907/37638/36730/33716,CG7914/Gmer/Gmppa/Gmd,FALSE
