"","CSF1","CSF2","CSF3","CSM1","CSM2","CSM3","WRF1","WRF2","WRF3","WRM1","WRM2","WRM3"
"ImpL2",0.315546136903919,0.742885094092742,0.737055307291545,0.857400825299968,1.23284961641067,1.54634703653936,-0.880175286984818,-0.787742451292781,-1.32318597569953,-0.836990640743721,-0.687877007687356,-0.916112654130016
"ND2",0.687103099663879,1.33865071411916,1.35699685950466,-0.832457493672068,-0.973778159338574,-1.08711222444746,-0.677259463900289,-0.931921142845196,0.053971834624644,0.59801282171602,1.30027264577113,-0.832479491195903
"CG9577",1.59851227825366,1.75221065447039,1.13563220102375,0.0134012679333149,0.101656233768638,-0.755691633134807,-1.10033789973053,-1.10882866845149,-0.555527261907206,-0.73541716332345,0.104553791039161,-0.450163799941461
"lncRNA:CR44779",1.36303590025709,1.49926507851158,1.6510333205046,-1.162024602814,-1.08557865752082,0.0961864596141458,-0.638644405733821,-0.608080550760472,-0.720329835615513,-0.490078197136852,-0.163554467084096,0.258769957778154
"ND4L",0.358762114261511,1.50472417947138,1.66059344168658,-0.674452266878145,-1.05564731706041,-0.91846284620557,-0.760990841227679,-0.88734883176631,-0.333114371539727,0.845369396608015,0.908299066864766,-0.647731724214428
"lncRNA:CR44580",0.675764893705224,0.796332733526767,0.839196302260317,0.729663358181289,1.22847940361314,1.2151618064137,-1.1559843655146,-1.13474818288891,-1.14391091871181,-1.14817533101085,-0.572054385079674,-0.329725314494604
"CG8671",1.24578930756937,1.40193952550858,1.30831192170349,0.0641059249080509,0.0715110237339734,0.841134986002738,-1.20907414855504,-0.592090619137238,-1.42225865284603,-0.268030105585936,-0.953416568511496,-0.487922594790454
"CG15387",-1.19349167471673,-1.14824094046621,-1.28722712720083,-0.589565826546539,-0.65433900729826,-0.733305290570636,0.81878868958632,0.83733189582009,0.965481667170509,1.05840056837613,0.900968067721748,1.0251989781244
"Tina-1",-0.916390202784213,-0.687311605725078,-0.786819637597415,-1.20318129496659,-0.952406262535861,-1.11065588124673,0.963660580423744,0.90840927496623,0.973741847310138,1.04720089553573,0.630475947859601,1.13327633876044
"LysP",-0.463481908813781,-0.499836057936068,-0.194429035987251,-1.11921926357157,-1.36855448805883,-1.2064128116032,1.28912769812875,1.440807517032,1.11132512197348,0.662652184854843,-0.29717599895944,0.645197042941074
"TotZ",-0.858921629608776,-0.816266971489167,-0.972126106688765,-0.204502171131362,-0.47927792568523,-0.701590886100955,0.858226333727195,1.54957314443526,1.76034513808745,-0.771128195868026,-0.335600012875267,0.971269283197643
"beat-IIIc",-0.800167102694968,-1.18718592604578,-1.03231717367908,-0.736277660455672,-1.24825337536622,-0.571216794258744,0.80761405371931,0.715139168469804,0.77592297715314,1.36717733331146,0.955241853769434,0.954322646077319
"LysX",-1.30344480158497,-1.32437791438997,-1.28475120236601,0.297824696800767,0.428365166145415,-0.420014640909552,1.638698480628,0.818099390491856,0.760098202040143,-0.816940286703684,0.35791726247554,0.848525647372464
"asRNA:CR44114",-1.04800537767876,-1.05819262246503,-1.03890692733767,-1.05327531616177,-0.870408936491622,-0.635479692131477,0.978357289766885,0.950080385091914,0.970071736189795,0.961573248643003,0.868515838658377,0.97567037391636
"AttD",-1.11059426588648,-1.78322919708725,-1.49496300250983,0.120395818841446,0.171035276526149,0.180938789029827,0.96580264545868,0.558877205279636,0.643582952525852,0.212718415918067,-0.0665260085281638,1.60196137043205
"Vha16-1",-0.904765335851402,-1.00481317377824,-0.712463812971442,-0.772442364859844,-1.04354008544931,-1.21127632754512,0.881979436934369,0.889428795881043,0.863393392320461,1.08846478962121,0.68254259720622,1.24349208849205
