"ONTOLOGY","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","sex","direction"
"CC","GO:0000775","chromosome, centromeric region","1/67","48/5833",0.0208333333333333,1.81374378109453,0.610190524894964,0.426957933249899,0.706105020632598,0.611767102896259,"Mis12",1,"female","up"
"CC","GO:0000793","condensed chromosome","1/67","48/5833",0.0208333333333333,1.81374378109453,0.610190524894964,0.426957933249899,0.706105020632598,0.611767102896259,"Mis12",1,"female","up"
"CC","GO:0043195","terminal bouton","1/67","48/5833",0.0208333333333333,1.81374378109453,0.610190524894964,0.426957933249899,0.706105020632598,0.611767102896259,"unc-13",1,"female","up"
"CC","GO:0045202","synapse","3/67","209/5833",0.0143540669856459,1.24966078697422,0.396195612828411,0.432923082053507,0.706105020632598,0.611767102896259,"Nmdar1/unc-13/ort",3,"female","up"
"CC","GO:0098590","plasma membrane region","3/67","210/5833",0.0142857142857143,1.24371002132196,0.38771074149862,0.435998182350379,0.706105020632598,0.611767102896259,"Nmdar1/rst/unc-13",3,"female","up"
"CC","GO:0030017","sarcomere","1/67","50/5833",0.02,1.74119402985075,0.567347517003669,0.440155778229459,0.706105020632598,0.611767102896259,"Zasp66",1,"female","up"
"CC","GO:0030424","axon","2/67","134/5833",0.0149253731343284,1.29939852973936,0.377930179704361,0.458264767062278,0.706105020632598,0.611767102896259,"ImpL2/unc-13",2,"female","up"
"CC","GO:0030016","myofibril","1/67","53/5833",0.0188679245283019,1.64263587721769,0.506579747690301,0.459393028360394,0.706105020632598,0.611767102896259,"Zasp66",1,"female","up"
"CC","GO:0045178","basal part of cell","1/67","53/5833",0.0188679245283019,1.64263587721769,0.506579747690301,0.459393028360394,0.706105020632598,0.611767102896259,"Apoltp",1,"female","up"
"CC","GO:0099503","secretory vesicle","1/67","54/5833",0.0185185185185185,1.61221669430625,0.487174491691487,0.465659579761753,0.706105020632598,0.611767102896259,"unc-13",1,"female","up"
"CC","GO:0043679","axon terminus","1/67","55/5833",0.0181818181818182,1.58290366350068,0.468164200209631,0.47185456300383,0.706105020632598,0.611767102896259,"unc-13",1,"female","up"
"CC","GO:0043292","contractile fiber","1/67","56/5833",0.0178571428571429,1.55463752665245,0.449532318528615,0.477978783197451,0.706105020632598,0.611767102896259,"Zasp66",1,"female","up"
"CC","GO:0044306","neuron projection terminus","1/67","56/5833",0.0178571428571429,1.55463752665245,0.449532318528615,0.477978783197451,0.706105020632598,0.611767102896259,"unc-13",1,"female","up"
"CC","GO:0030133","transport vesicle","1/67","57/5833",0.0175438596491228,1.5273631840796,0.43126328173898,0.484033036534091,0.707014547746425,0.612555114241842,"unc-13",1,"female","up"
"CC","GO:0016324","apical plasma membrane","1/67","60/5833",0.0166666666666667,1.45099502487562,0.378490895771766,0.501783825562292,0.724798859145532,0.62796338403702,"rst",1,"female","up"
"CC","GO:0000323","lytic vacuole","1/67","62/5833",0.0161290322580645,1.4041887337506,0.344876300765349,0.513282054880192,0.725289860156793,0.62838878572289,"CG13442",1,"female","up"
"CC","GO:0005764","lysosome","1/67","62/5833",0.0161290322580645,1.4041887337506,0.344876300765349,0.513282054880192,0.725289860156793,0.62838878572289,"CG13442",1,"female","up"
"CC","GO:0031594","neuromuscular junction","1/67","69/5833",0.0144927536231884,1.26173480423967,0.235739781225309,0.551504717213903,0.770920572449541,0.667923087061546,"unc-13",1,"female","up"
"CC","GO:0000228","nuclear chromosome","1/67","74/5833",0.0135135135135135,1.17648245260186,0.164684486954179,0.576980633660624,0.787992326654504,0.682713999611595,"timeout",1,"female","up"
"CC","GO:0150034","distal axon","1/67","74/5833",0.0135135135135135,1.17648245260186,0.164684486954179,0.576980633660624,0.787992326654504,0.682713999611595,"unc-13",1,"female","up"
"CC","GO:0015629","actin cytoskeleton","1/67","75/5833",0.0133333333333333,1.1607960199005,0.151070245888224,0.581902025837172,0.787992326654504,0.682713999611595,"Zasp66",1,"female","up"
"CC","GO:0062129","chitin-based extracellular matrix","1/67","81/5833",0.0123456790123457,1.0748111295375,0.0730816127535926,0.610267803154858,0.817884684640532,0.708612641753335,"Ccp84Ad",1,"female","up"
"CC","GO:0030659","cytoplasmic vesicle membrane","1/67","83/5833",0.0120481927710843,1.04891206617515,0.0483760019138908,0.619295001605715,0.821513777640234,0.71175687617413,"unc-13",1,"female","up"
"CC","GO:0012506","vesicle membrane","1/67","85/5833",0.0117647058823529,1.02423178226514,0.024257457608285,0.62811615641646,0.82479899327414,0.714603176358971,"unc-13",1,"female","up"
"CC","GO:0099513","polymeric cytoskeletal fiber","1/67","88/5833",0.0113636363636364,0.989314789687924,-0.0108864989280336,0.640971663910094,0.833263163083122,0.721936505667158,"Zasp66",1,"female","up"
"CC","GO:0005856","cytoskeleton","3/67","292/5833",0.0102739726027397,0.894448987937027,-0.199465868575578,0.659655913822527,0.849062067296321,0.735624625106934,"Ttc26/TTLL3B/Zasp66",3,"female","up"
"CC","GO:0015630","microtubule cytoskeleton","2/67","198/5833",0.0101010101010101,0.879390924167044,-0.18611203790068,0.670018796366993,0.849608619905957,0.736098156517711,"Ttc26/TTLL3B",2,"female","up"
"CC","GO:0098687","chromosomal region","1/67","96/5833",0.0104166666666667,0.906871890547264,-0.0991705720057098,0.673151445002412,0.849608619905957,0.736098156517711,"Mis12",1,"female","up"
"CC","GO:0031982","vesicle","3/67","301/5833",0.00996677740863787,0.867704666038578,-0.254036153956418,0.680032433892961,0.850040542366202,0.736472372738329,"unc-13/Galk/CG13442",3,"female","up"
"CC","GO:0005773","vacuole","1/67","104/5833",0.00961538461538462,0.83711251435132,-0.180664913738901,0.702486160445531,0.869744770075419,0.753544051806234,"CG13442",1,"female","up"
"CC","GO:0005815","microtubule organizing center","1/67","109/5833",0.0091743119266055,0.7987128577297,-0.22865900561423,0.719486729557009,0.876141916128606,0.759086518427213,"Ttc26",1,"female","up"
"CC","GO:0099080","supramolecular complex","2/67","218/5833",0.0091743119266055,0.7987128577297,-0.32649628238349,0.721132192505852,0.876141916128606,0.759086518427213,"Mis12/Zasp66",2,"female","up"
"CC","GO:0098793","presynapse","1/67","113/5833",0.00884955752212389,0.770439836217144,-0.265611315786872,0.732394994680883,0.880120950544708,0.762533940957763,"unc-13",1,"female","up"
"CC","GO:0045177","apical part of cell","1/67","116/5833",0.00862068965517241,0.750514668039115,-0.292549092761427,0.741690486275086,0.880120950544708,0.762533940957763,"rst",1,"female","up"
"CC","GO:0005938","cell cortex","1/67","117/5833",0.00854700854700855,0.744100012756729,-0.301387978128412,0.744717727383983,0.880120950544708,0.762533940957763,"unc-13",1,"female","up"
"CC","GO:0005789","endoplasmic reticulum membrane","1/67","125/5833",0.008,0.696477611940299,-0.369753756398331,0.767710146508097,0.887367086190379,0.768811969411907,"CG6790",1,"female","up"
"CC","GO:0042175","nuclear outer membrane-endoplasmic reticulum membrane network","1/67","129/5833",0.00775193798449612,0.674881406918894,-0.402490601442114,0.778428775995727,0.887367086190379,0.768811969411907,"CG6790",1,"female","up"
"CC","GO:0098827","endoplasmic reticulum subcompartment","1/67","131/5833",0.00763358778625954,0.664577873988834,-0.418526140583362,0.783603870984425,0.887367086190379,0.768811969411907,"CG6790",1,"female","up"
"CC","GO:0005694","chromosome","3/67","359/5833",0.00835654596100279,0.727518396873571,-0.574434947278782,0.790331435567652,0.887367086190379,0.768811969411907,"timeout/vrs/Mis12",3,"female","up"
"CC","GO:0031012","extracellular matrix","1/67","135/5833",0.00740740740740741,0.644886677722499,-0.449967831813467,0.793599435167507,0.887367086190379,0.768811969411907,"Ccp84Ad",1,"female","up"
"CC","GO:0099512","supramolecular fiber","1/67","137/5833",0.0072992700729927,0.635472273668156,-0.465387484747986,0.798425245624185,0.887367086190379,0.768811969411907,"Zasp66",1,"female","up"
"CC","GO:0099081","supramolecular polymer","1/67","139/5833",0.00719424460431655,0.626328787716096,-0.480614810404306,0.803139869960255,0.887367086190379,0.768811969411907,"Zasp66",1,"female","up"
"CC","GO:0030312","external encapsulating structure","1/67","140/5833",0.00714285714285714,0.621855010660981,-0.488158230450933,0.805456278234344,0.887367086190379,0.768811969411907,"Ccp84Ad",1,"female","up"
"CC","GO:0031410","cytoplasmic vesicle","2/67","274/5833",0.0072992700729927,0.635472273668156,-0.666217982784832,0.83035776515164,0.899554245580943,0.779370884835311,"unc-13/CG13442",2,"female","up"
"CC","GO:0097708","intracellular vesicle","2/67","274/5833",0.0072992700729927,0.635472273668156,-0.666217982784832,0.83035776515164,0.899554245580943,0.779370884835311,"unc-13/CG13442",2,"female","up"
"CC","GO:0005768","endosome","1/67","168/5833",0.00595238095238095,0.518212508884151,-0.682997389489731,0.860455755646464,0.924456596975539,0.8009462014282,"CG13442",1,"female","up"
"CC","GO:0000785","chromatin","1/67","194/5833",0.00515463917525773,0.448761347899677,-0.841682543021043,0.897654134789279,0.954319485473602,0.826819311301015,"vrs",1,"female","up"
"CC","GO:0031984","organelle subcompartment","1/67","202/5833",0.00495049504950495,0.430988621250185,-0.887181980447366,0.906992824883787,0.954319485473602,0.826819311301015,"CG6790",1,"female","up"
"CC","GO:0098588","bounding membrane of organelle","1/67","205/5833",0.0048780487804878,0.424681470695304,-0.90389313446479,0.910273970759436,0.954319485473602,0.826819311301015,"unc-13",1,"female","up"
"CC","GO:0032993","protein-DNA complex","1/67","213/5833",0.00469483568075117,0.40873099292271,-0.947579373941124,0.918476494902823,0.955215554698936,0.827595662775596,"vrs",1,"female","up"
"CC","GO:0140513","nuclear protein-containing complex","3/67","490/5833",0.00612244897959184,0.533018580566555,-1.16416327236669,0.929102416724264,0.958597731540907,0.830525969837061,"timeout/DNAlig3/IntS12",3,"female","up"
"CC","GO:0005654","nucleoplasm","1/67","252/5833",0.00396825396825397,0.345475005922767,-1.1449310530181,0.949013909303803,0.971431560704681,0.841645157857497,"CG9346",1,"female","up"
"CC","GO:0005783","endoplasmic reticulum","1/67","289/5833",0.00346020761245675,0.30124464184269,-1.31332224895395,0.967435489058314,0.975106487559008,0.844829102581489,"CG6790",1,"female","up"
"CC","GO:0031981","nuclear lumen","2/67","442/5833",0.00452488687782805,0.39393530087121,-1.42857911779505,0.967605668423939,0.975106487559008,0.844829102581489,"timeout/CG9346",2,"female","up"
"CC","GO:0140535","intracellular protein-containing complex","1/67","350/5833",0.00285714285714286,0.248742004264392,-1.56251014754007,0.984552128755406,0.984552128755406,0.853012775520878,"eIF4E3",1,"female","up"
